Region,R2,RMSE,ACEP,AGE,POVERTY,INTERNET,EDUCATION,URBAN,VACCINATED,REPUBLICAN,JOB,POPULATION
US-OH,0.157996793,0.051706571,0.5,39.1,14.6,72.4,24.6,77.9,89.5,47.7,10.3,115.39282
US-OK,0.055485281,0.06844289,0.25,39.9,16.3,71.4,22.9,66.2,87.4,66.8,9.1,37.59529
US-OR,0.073538239,0.170747613,0.25,40.2,13.3,81.3,28.8,81,84,42.2,8,38.37073
US-PA,0.009176504,0.039069109,0.5,39,12.9,77.6,27.1,78.7,92.1,46.6,10,127.11063
US-RI,0.012555942,0.07322493,0.33,40.6,12.8,78.6,30.2,90.7,94.1,35.2,10.5,10.53169
US-SC,0.011091363,0.050022313,0.25,40.2,15.3,67.4,24.5,66.3,84.3,54.6,8.7,46.35834
US-SD,0.07741442,0.223351016,0.25,38.5,13.3,73.6,26.3,56.7,91.1,57.9,9.9,8.16227
US-TN,0.002348807,0.024384364,0.33,40.5,15.8,69.4,23.1,66.4,87.5,59.5,9.2,63.55882
US-TX,0.009397871,0.035001938,0.25,42.4,15.6,71.6,25.9,84.7,87,57.2,8.4,252.41648
US-UT,0.047784419,0.774785993,0.5,42,10.2,85.5,29.3,90.6,87.9,72.8,7.3,27.7526
US-VA,0.05081146,0.044182045,0.33,42.4,11,79.1,34.2,75.5,89.3,47.3,8,80.25206
US-VT,0.028365051,0.263077612,0.25,38.7,11.9,76.7,33.6,38.9,90.3,31,8.5,6.25842
US-WA,0.041390397,0.324171934,0.25,41.6,11.3,83.6,31.1,84.1,85.8,41.3,7.8,67.41386
US-WI,0.083705031,0.461561588,0.33,39.9,11.8,80.5,26.3,70.2,88.9,45.9,8.4,56.90403
US-WV,0.015799183,0.119066408,0.33,38.2,17.9,72.1,17.5,48.7,83.3,62.3,11.6,18.54315
US-WY,0.010884047,0.132022861,0,39.8,11.3,79.3,24.1,64.8,86,68.6,7.9,5.64376
